UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
SJM,@sjm1775,2022-04-24T20:54:55.000Z,"SJM
@sjm1775
·
Apr 25","You can keep typing the word Republican in your poasts all day and all night until Election Day but it ain’t gonna help one bit.
Maggie Hassan
@Maggie_Hassan
 · Apr 24
I'm glad that Republicans and Democrats were able to come together to pass the Postal Service Reform Act and deliver a much-needed win for the U.S.P.S. ",📬,,,,['https://pbs.twimg.com/profile_images/1422548887022284803/6OCvTLqA_mini.jpg'],https://twitter.com/sjm1775/status/1518332681066631178
SJM,@sjm1775,2022-04-24T00:07:48.000Z,"SJM
@sjm1775
·
Apr 24","Cruella all day.
Kween Josielon
@KweenJosie
 · Apr 24
Nancy Pelosi could easily pass for any of the following:",,,,,"['https://pbs.twimg.com/profile_images/1519093391836987397/N4kCIZS9_mini.jpg', 'https://pbs.twimg.com/media/FREUk2oXsAEiRTo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FREUk2rXoAApO6v?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FREUk3zXoAADCFH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FREUk34XoAAUWh3?format=jpg&name=360x360']",https://twitter.com/sjm1775/status/1518018837622530048
SJM,@sjm1775,2022-04-24T12:27:28.000Z,"SJM
@sjm1775
·
Apr 24","Why are the Reply turned off your account?
Prof. Gavin Yamey MD MPH
@GYamey
 · Apr 23
The Great Barrington Declaration just published a piece arguing that Covid vaccines don’t reduce mortality 

I’m not linking to it, as it is dangerous disinformation (it’s on the website of their new right wing think tank, Brownstone)

I wish they’d stop peddling this harmful BS",,,,,['https://pbs.twimg.com/profile_images/1402413397493301253/Jrd0WLJk_mini.jpg'],https://twitter.com/sjm1775/status/1518204980095770627
SJM,@sjm1775,2022-04-24T00:08:27.000Z,"SJM
@sjm1775
·
Apr 24","Indeed.
𝕍𝕠ö𝕕𝕠𝕠 𝟞 𝕧𝕠𝕟 𝕀𝕟𝕪𝕒𝕟𝕘𝕒
@6Voodoo
 · Apr 24
It isn't democrats, or republicans. It transcends party. Regardless of the casus belli, if those ""elites"" are willing to face the enemy's muskets with us, we will remain one nation. There will always be a noble class, but that noble class has forgotten their noblesse oblige
Show this thread",,,,,['https://pbs.twimg.com/profile_images/1495418630456197123/AH3nLNGa_mini.jpg'],https://twitter.com/sjm1775/status/1518018999900065793
SJM,@sjm1775,2022-04-24T10:07:56.000Z,"SJM
@sjm1775
·
Apr 24",Good morning Gen X. Let’s get it done.,,,,,[],https://twitter.com/sjm1775/status/1518169864728457222
SJM,@sjm1775,2022-04-24T11:10:58.000Z,"SJM
@sjm1775
·
Apr 24","That is precisely what he thinks because of his malignant sense of self importance and most of the current administration’s apparatchiks are his fawning sycophants.
Stephen L. Miller
@redsteeze
 · Apr 24
My man here just makes podcasts now. Does he think a court of government regulators will offer him decrees?
Show this thread",,,,,['https://pbs.twimg.com/profile_images/1171149010754854912/2CVoK6I8_mini.jpg'],https://twitter.com/sjm1775/status/1518185727305170946
SJM,@sjm1775,2022-04-24T00:00:24.000Z,"SJM
@sjm1775
·
Apr 24",What if we are all dead from Covid and the after life is just dealing with inflation and food shortages?,,,,,[],https://twitter.com/sjm1775/status/1518016975255093249
SJM,@sjm1775,2022-04-24T11:13:41.000Z,"SJM
@sjm1775
·
Apr 24","Clown World Today
@cwt_news
 · Apr 24",🙄 🤡 🌎 🤡 🌎,,,,"['https://pbs.twimg.com/profile_images/1433997974787481603/n_CxTmjW_mini.jpg', 'https://pbs.twimg.com/media/FRGqEQ5XsAARquC?format=jpg&name=small']",https://twitter.com/sjm1775/status/1518186412625076224
SJM,@sjm1775,2022-04-25T00:05:52.000Z,"SJM
@sjm1775
·
Apr 25","Booze and smoke aggressively?
Saint_Dici
@Saint_Dici
 · Apr 25
If you’re gona win in life you need to be aggressive.

Work aggressively
Train aggressively
Booze and smoke aggressively
Live aggressively

If you’re always in an aggressive mindset it’s hard to not win.

The submissive house wife “men” rarely win….and it’s no coincidence",,,,,['https://pbs.twimg.com/profile_images/1450364017864708096/avq0GBZf_mini.jpg'],https://twitter.com/sjm1775/status/1518380735215849472
SJM,@sjm1775,2022-04-25T21:28:50.000Z,"SJM
@sjm1775
·
Apr 26","High probability
Joe Norman
@normonics
 · Apr 26
What's the likelihood of Twitter
inside job sabotage?
1",,,,1,['https://pbs.twimg.com/profile_images/1483924180852776967/j1NyQAJ4_mini.jpg'],https://twitter.com/sjm1775/status/1518703604240203776
